smiles,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,FractionCSP3,HallKierAlpha,HeavyAtomCount,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MolLogP,MolMR,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
"CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2",351.8410000000001,333.6970000000001,351.125073256,126,0,6.304113712871979,0.4830905139833712,6.304113712871979,0.4830905139833712,1.9354286583238671,943.7032352838613,17.388540578131753,14.147048166399124,14.902977112417577,12.131030293135236,8.11333000146017,8.491294474469397,6.297979709926142,6.734415490398127,4.135182575811938,4.370279678599678,3.0901085796041654,3.262211603557033,0.0,0.0,0.0,0.0,18.112146125566476,34.17478325684811,0.0,0.0,50.49354637612404,31.797107132167127,16.593344622868184,0.21052631578947367,-2.499999999999999,25,742446.3734078589,15.994809688581315,6.4251555555555555,2.9661224489795917,151.14977477093137,3.333300000000002,99.54500000000002,0,5,0,1,1,2,1,3,5,0,6,3,0,0,0,4.899909730850478,6.544756405912575,11.648808995999854,0.0,0.0,0.0,9.559504380427024,0.0,0.0,10.197363616602075,41.932775232540564,32.29444517073921,16.149536297135317,17.94382768336684,4,0.0,17.312624893003218,0.0,19.66437299524391,4.992404732635669,13.08951281182515,14.09534396535438,76.32928184082806,0.0,5.687386274683562,0.0,0.0,0.0,11.600939890232516,39.47140196336899,13.08951281182515,0.0,22.775711979393844,53.52334128032855,5.022633313741326,5.687386274683562,0.0,46.31,0.0,6.304113712871979,0.0,0.0,0.0,0.0,0.0,0.0,2.102283950617284,43.37138011428852,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2",308.77200000000005,295.668,308.082874096,108,0,6.228015890512583,0.4973875661375662,6.228015890512583,0.4973875661375662,2.0133815691934758,880.9295253951269,15.104083527755582,11.992727789712616,12.748656735731071,10.737183443017884,7.049121653850143,7.42708612685937,5.191182528867209,5.6276183093391925,3.7723156901806956,4.0074127929684344,2.7926563810206866,2.9647594049735533,0.0,0.0,0.0,0.0,11.567389719653901,34.17478325684811,0.0,0.0,47.889039258251636,22.330097753525294,16.593344622868184,0.11764705882352941,-2.459999999999999,22,194436.74800244864,13.220144300303355,5.0704066487242425,2.036578034945077,132.66005687193478,3.5801200000000017,86.89100000000002,0,4,0,1,1,2,1,3,4,0,5,1,0,0,0,0.0,12.369160903912501,5.824404497999927,0.0,0.0,0.0,9.559504380427024,0.0,0.0,10.197363616602075,41.932775232540564,25.122838405075452,16.149536297135317,11.399071277454265,4,0.0,17.312624893003218,0.0,14.76446326439343,4.992404732635669,13.4684936056032,0.0,76.32928184082806,0.0,5.687386274683562,0.0,0.0,0.0,11.600939890232516,20.476148267164135,6.544756405912575,6.923737199690624,22.775711979393844,53.52334128032855,5.022633313741326,5.687386274683562,0.0,43.07,0.0,6.228015890512583,0.0,0.0,0.0,0.0,0.0,0.0,2.0467283950617285,38.00303349220347,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1",316.15799999999996,306.07800000000003,315.00072404,94,0,11.657272022234821,-0.11620039682539662,11.657272022234821,0.10933201058201036,2.1951789491913214,667.6462238772622,13.242276208189782,9.929198619986936,11.51519515910164,9.237183443017884,5.795009029901174,6.588007299458527,4.117894526245812,5.033570055037502,2.7991137707034355,3.292365409420475,1.968969523860289,2.33005478431777,0.0,4.794537184071822,0.0,12.45193613526408,0.0,27.12917027983213,0.0,6.196843571613076,36.39820241076966,31.223115755538554,0.0,0.07142857142857142,-2.01,19,32752.466535279644,12.045931158579348,4.9322599810202385,2.4161294526180095,118.27139487132139,2.6336000000000004,77.51470000000002,1,4,0,1,1,1,1,2,3,1,5,1,0,0,0,5.316788604006331,6.544756405912575,0.0,5.907179729351506,0.0,0.0,14.770920437654699,0.0,0.0,0.0,21.99631096641096,30.33183534230805,16.233014579142484,17.092999272302723,3,4.794537184071822,33.236194904755116,0.0,4.9839785209472085,4.992404732635669,0.0,11.861545009918906,58.325144984760605,0.0,0.0,5.316788604006331,5.687386274683562,0.0,15.929943897949348,23.147599658981992,4.794537184071822,0.0,11.257379486545457,52.06017023085082,0.0,0.0,0.0,54.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9361389833711266,39.37090478552532,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1",299.761,285.649,299.082539748,106,0,12.573779289493576,0.17363756613756598,12.573779289493576,0.17363756613756598,2.271838969980807,738.4422380249487,14.819626477379408,11.506548889176562,12.262477835195018,10.185871848001627,6.610875446435262,6.988839919444489,4.721214884571587,5.1576506650435725,3.3477120041825685,3.582809106970307,2.3560845009395317,2.528187524892399,0.0,5.20725302477729,0.0,6.544756405912575,16.569938102269298,21.553123111672242,0.0,19.18040611960041,36.39820241076966,10.309193336642,11.600939890232516,0.125,-2.3299999999999996,21,81645.16161194848,13.643835157913811,5.5779248204806295,2.6231685550529975,127.54445175009751,2.950700000000001,85.75410000000004,1,4,0,1,1,2,0,2,3,1,5,1,0,0,0,10.524041628783621,0.0,5.835619785757269,12.256441408683276,0.0,0.0,0.0,4.992404732635669,4.738833853594686,0.0,29.800041095617345,30.33183534230805,17.633756788115512,11.250837766380558,3,4.738833853594686,28.835630953444046,0.0,5.316788604006331,4.992404732635669,0.0,13.592428388589765,69.88772586960549,0.0,0.0,5.316788604006331,5.687386274683562,0.0,11.600939890232516,29.87856703071242,0.0,5.20725302477729,11.126902983393991,53.523341280328545,5.022633313741326,0.0,0.0,50.459999999999994,0.0,6.102700731012569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.008410380098546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21",300.74500000000006,287.641,300.066555336,106,0,12.480075585789873,-0.26475308641975315,12.480075585789873,0.16895502645502658,2.237193698812964,715.4718451602737,14.982763184195939,11.414797179640425,12.17072612565888,10.075387400469408,6.518302366640422,6.89626683964965,4.8272664113054,5.263702191777385,3.4800639692224453,3.7151610720101838,2.415159783715143,2.581503338756439,0.0,9.589074368143644,0.0,18.23518108162902,22.08479213779201,0.0,4.899909730850478,30.146682918912497,30.33183534230805,0.0,11.600939890232516,0.125,-2.3299999999999987,21,71190.11124671905,13.643835157913811,5.2201165206274105,2.3830286117828967,127.08841239699416,3.3712000000000018,83.06700000000002,0,4,0,1,1,2,0,2,2,0,5,1,0,0,0,4.899909730850478,6.4208216229260096,0.0,11.814359458703011,0.0,0.0,14.488984098994122,0.0,0.0,0.0,29.800041095617345,30.33183534230805,17.75769157110208,11.374772549367124,3,9.589074368143644,40.47745817298621,0.0,0.0,0.0,6.4208216229260096,16.847491444378146,53.553569861434205,0.0,0.0,9.799819461700956,17.062158824050687,0.0,11.600939890232516,18.8620314413802,9.589074368143644,0.0,6.4208216229260096,48.53093654769288,5.022633313741326,0.0,0.0,40.620000000000005,0.0,6.073112734805855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.537998376305275,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1",315.716,305.636,315.04106886,110,0,11.74134054547745,-0.4888756613756615,11.74134054547745,0.06643439783320737,2.2335991802431643,817.4300132341527,15.689869965382487,11.245695200914662,12.001624146933116,10.558550648063802,6.440633646418937,6.818598119428165,4.679853688351676,5.087053815092281,3.2529341739387494,3.582522394978795,2.259996757888712,2.4852334053314937,4.923311048817671,14.908855452837393,0.0,18.139322409947642,27.54860757458958,0.0,18.19910120538483,24.26546827384644,0.0,10.309193336642,11.600939890232516,0.06666666666666667,-2.7299999999999995,22,116788.42196198899,14.217519400971987,5.572723046505113,2.5586032534213317,130.14044123411497,3.037700000000001,83.6841,1,6,0,1,1,2,0,2,4,1,7,2,0,0,0,5.316788604006331,6.544756405912575,0.0,5.907179729351506,5.687386274683562,0.0,19.901260185473063,0.0,0.0,0.0,29.800041095617345,12.13273413692322,28.282270434058535,16.322382326271935,3,9.717848232889493,34.594577171721845,0.0,0.0,4.992404732635669,0.0,11.861545009918906,68.72842404513216,0.0,0.0,5.316788604006331,11.374772549367124,0.0,11.600939890232516,23.086932186852454,4.794537184071822,10.114318268765572,11.126902983393991,47.456974211866935,5.022633313741326,0.0,0.0,84.6,0.0,6.196042174071274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.581735603706505,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O",314.72800000000007,303.64000000000004,314.045819892,110,0,12.048264676240867,-1.498720710506425,12.048264676240867,0.4202314814814818,2.2524284476933762,787.232857408878,15.689869965382487,11.285040667643504,12.040969613661959,10.558550648063802,6.528710755640767,6.906675228649994,4.7636622682755885,5.2000980487475745,3.2822928178934037,3.517389920681142,2.2731773258818033,2.445280349834671,17.918325846451314,14.69560176298435,0.0,0.0,27.54860757458958,0.0,0.0,30.33183534230805,18.19910120538483,10.309193336642,11.600939890232516,0.0625,-2.6599999999999993,22,116714.64458291534,14.284541405318805,5.614350648689528,2.582566362815447,130.80816347825157,2.5827,83.58650000000003,2,5,0,1,1,2,0,2,3,2,6,2,0,0,0,10.423315998847038,0.0,0.0,6.041840829147961,5.907179729351506,5.969305287951849,9.786941916707491,4.794537184071822,0.0,0.0,41.932775232540564,18.19910120538483,16.149536297135317,11.399071277454265,3,14.69560176298435,34.87649618499013,0.0,0.0,4.992404732635669,6.041840829147961,5.316788604006331,64.6804728448282,0.0,0.0,5.316788604006331,5.687386274683562,0.0,11.600939890232516,28.73653824406272,9.589074368143644,0.0,11.126902983393991,53.523341280328545,5.022633313741326,0.0,0.0,78.75999999999999,0.0,6.034004052238179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.57710705887294,1,0,0,0,0,0,0,0,1,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1",305.164,295.08400000000006,304.0170183,100,0,11.708354434366338,-0.15682775888133005,11.708354434366338,0.062356701940035064,2.2307171110873174,725.5634947433758,14.11251969619286,10.359949497496205,11.871807389533114,9.647867045540842,6.040860713503461,6.796789659521916,4.382762903755458,5.22639881096805,3.0205788929679427,3.585264216795727,2.1306680581888675,2.5280077295845165,0.0,4.794537184071822,0.0,12.45193613526408,21.444337904936916,11.126902983393991,0.0,24.26546827384644,18.19910120538483,10.309193336642,23.20187978046503,0.06666666666666667,-1.8399999999999992,20,47058.940422871645,13.157378117913831,5.270174036252378,2.4218898815889554,125.79073173849686,3.7829000000000015,82.03970000000001,1,3,0,1,1,2,0,2,2,1,5,1,0,0,0,5.316788604006331,6.544756405912575,0.0,5.907179729351506,0.0,0.0,9.786941916707491,0.0,0.0,0.0,41.40098098584986,24.26546827384644,21.172169610876644,11.399071277454265,3,4.794537184071822,40.5081307872708,0.0,0.0,4.992404732635669,0.0,11.861545009918906,63.63673909010791,0.0,0.0,5.316788604006331,5.687386274683562,0.0,23.20187978046503,18.163621138034785,4.794537184071822,0.0,11.126902983393991,47.456974211866935,10.045266627482652,0.0,0.0,41.46,0.0,12.292582531983985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.596306356904904,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O=C1C[N+]([O-])=C(c2ccccc2)c2cc(Cl)ccc2N1",286.718,275.63,286.050905272,100,0,12.274890400604686,-0.3384226190476187,12.274890400604686,0.23955687830687866,2.276693263735119,711.0683822455393,14.11251969619286,10.467583584140469,11.223512530158922,9.647867045540842,6.117785996167236,6.495750469176464,4.4893285672753995,4.925764347747385,3.0946641549758533,3.3297612577635918,2.250475042488994,2.4225780664418615,0.0,10.001790208849112,0.0,12.45193613526408,26.72398993648727,5.563451491696996,0.0,18.19910120538483,30.33183534230805,5.316788604006331,11.600939890232516,0.06666666666666667,-2.329999999999999,20,46098.817746094224,12.691093079016794,4.9798723078208935,2.2551782794198814,120.44570924988452,2.639800000000001,78.22910000000003,1,4,0,1,1,2,0,2,2,1,5,1,0,0,0,10.524041628783621,0.0,0.0,12.256441408683276,5.907179729351506,0.0,4.794537184071822,0.0,4.738833853594686,0.0,29.800041095617345,30.33183534230805,10.586084805438322,11.250837766380558,3,9.533371037666509,28.907190897038284,0.0,0.0,0.0,0.0,11.861545009918906,69.88772586960549,0.0,0.0,5.316788604006331,5.687386274683562,0.0,11.600939890232516,22.90245499162947,4.794537184071822,5.20725302477729,11.126902983393991,48.53093654769288,5.022633313741326,0.0,0.0,55.17,0.0,6.020214019764284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.090897091346825,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O=C1CC(=O)N(c2ccccc2)c2cc(Cl)ccc2N1",286.718,275.63,286.050905272,100,0,12.321186696900982,-0.322218915343915,12.321186696900982,0.19326058201058238,2.1959537496423507,685.5277983730039,14.11251969619286,10.467583584140469,11.223512530158922,9.647867045540842,6.1238751756405065,6.501839648649733,4.451121932465944,4.887557712937929,3.0503463081925326,3.2854434109802715,2.2007926369070194,2.3671361919483154,0.0,9.589074368143644,0.0,18.23518108162902,22.08479213779201,0.0,4.899909730850478,18.19910120538483,30.33183534230805,5.316788604006331,11.600939890232516,0.06666666666666667,-2.329999999999999,20,46098.817746094224,12.691093079016794,4.9798723078208935,2.2551782794198814,120.51349879600221,3.3469000000000015,78.28670000000004,1,4,0,1,1,2,0,2,2,1,5,1,0,0,0,5.316788604006331,6.4208216229260096,0.0,11.814359458703011,0.0,0.0,14.488984098994122,0.0,0.0,0.0,29.800041095617345,30.33183534230805,10.710019588424888,11.374772549367124,3,9.589074368143644,40.47745817298621,0.0,0.0,0.0,6.4208216229260096,10.216698334856808,53.553569861434205,0.0,0.0,10.216698334856808,17.062158824050687,0.0,11.600939890232516,11.814359458703011,9.589074368143644,0.0,6.4208216229260096,48.53093654769288,5.022633313741326,0.0,0.0,49.410000000000004,0.0,6.01613994569021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.09497116542091,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
